Page ID,Page name,Disclaimer,Amount spent (EUR),Number of ads in Library
1185998661417403,Ivan Korčok,Ivan Korčok,3016,30
403027089864701,Peter Pellegrini,Peter Pellegrini,2161,45
557862947737785,Progresívne Slovensko,Progresívne Slovensko,1466,30
732167026967322,Robert Fico,SMER - SD,1045,6
163449818290,KDH,KDH,921,25
147166706140048,Martin Hojsík,Martin Hojsík,902,28
188067335135140,Strabag Slovensko,Strabag Slovensko,793,26
102146246492040,SMER - SSD,SMER - SD,741,11
135805949177,FORTUNA stavte sa,FORTUNA stavte sa,649,4
186953775142661,ESET,"ESET, spol. s r.o.",592,7
1501859650125625,Vladimír Bilčík,Vladimír Bilčík,585,7
2631817786833672,Michal Wiezik • Za zelenú Európu,Michal Wiezik,540,2
194278021265803,Michal Šimečka • Progresívne Slovensko,Progresívne Slovensko,519,4
100996313315404,Greenpeace Slovensko,Greenpeace Slovensko,458,9
106795542522284,Ján Kubiš,Ing. Ján Kubiš,431,12
802573516467334,Juraj Blanár,SMER - SD,419,7
"2,32208E+15",Ladislav Kamenický - minister financií SR,SMER - SD,417,10
214399691750828,"Ako dobre, že si",Liga za duševné zdravie SR,394,8
484734501561007,Kaufland Slovenská republika,Kaufland Slovenská republika v.o.s.,378,2
100686359349358,Martina Holečková,Martina Holečková,341,10
139025019440898,Inštitút ľudských práv - Human Rights Institute,Inštitút ľudských práv - Human Rights Institute,333,9
309315359104222,Milan Majerský,KDH,279,7
193258414360612,Milan Uhrík • Republika,REPUBLIKA,271,2
109645017227628,Anna.Andrejuvova,OBYČAJNÍ ĽUDIA a nezávislé osobnosti,233,2
"1,55502E+15",Richard Takáč - minister pôdohospodárstva a rozvoja vidieka,SMER - SD,216,7
594790970995799,Miriam Lexmann,Miriam Lexmann,209,6
1009998019021765,Forró Krisztián,Forró Krisztián,207,9
100612851457308,Matúš Šutaj Eštok,Matúš Šutaj Eštok,204,22
171511222871512,Televízia JOJ,Televízia JOJ,200,1
185784721289451,Braňo Ondruš,Braňo Ondruš,198,10
111165370750,Amnesty International Slovakia,Amnesty International Slovakia,196,3
"1,64316E+15",Ján Mažgút,SMER - SD,194,3
117702164538164,Záhradkársky Veľtrh Trenčín,Záhradkársky Veľtrh Trenčín,180,14
237493046280813,Katarina Roth Nevedalova,Katarina Roth Nevedalova,177,20
116795486378224,Marián Kéry- poslanec NR SR,SMER - SD,171,6
101038892907757,Mikuláš Dzurinda,"Modrí, Most - Híd",168,2
324560137683033,Ivan ŠTEFANEC,Ivan ŠTEFANEC,162,9
109669047774695,Brainee.sk,Mafra Slovakia a.s.,162,18
"2,00136E+15",Jaro Polaček,Jaroslav Polaček,158,7
608493236475568,Pavol Slota • DOMOV - Národná strana,DOMOV národná strana,156,8
"1,47284E+15",Nadácia Zastavme korupciu,Nadácia Zastavme korupciu,156,7
132166557016,Liga za duševné zdravie SR,Liga za duševné zdravie SR,147,11
162176693837904,Orange,Orange,134,7
102200698451761,Gyimesi György,Gyimesi György,120,5
"1,2462E+15",Milan Ftorek - Reštart Martina,Milan Ftorek - Reštart Martina,117,6
106092371358835,Za právny štát,Občianske združenie ZA DEMOKRACIU A PRÁVNY ŠTÁT,113,6
829246250528166,Republiková únia zamestnávateľov,Republiková únia zamestnávateľov,109,2
