Page ID,Page name,Disclaimer,Amount spent (EUR),Number of ads in Library
1185998661417403,Ivan Korčok,Ivan Korčok,5522,34
403027089864701,Peter Pellegrini,Peter Pellegrini,3783,78
254427098315,Tipsport SK,Tipsport SK,2981,7
557862947737785,Progresívne Slovensko,Progresívne Slovensko,2361,15
1009998019021765,Forró Krisztián,Forró Krisztián,2069,20
193258414360612,Milan Uhrík • Republika,REPUBLIKA,1538,8
207289726707929,Milan Mazurek • Republika,REPUBLIKA,1087,4
100612851457308,Matúš Šutaj Eštok,Matúš Šutaj Eštok,927,38
188067335135140,STRABAG Slovensko,Strabag Slovensko,912,56
102146246492040,SMER - SSD,SMER - SD,739,13
194278021265803,Michal Šimečka • Progresívne Slovensko,Progresívne Slovensko,700,10
106795542522284,Ján Kubiš,Ing. Ján Kubiš,695,62
732167026967322,Robert Fico,SMER - SD,658,6
339528979423925,Aktuality.sk,Ringier Slovakia Media s.r.o.,542,4
802573516467334,Juraj Blanár,SMER - SD,532,15
100100868241799,Miroslav Suja • Republika,REPUBLIKA,514,2
1578280295823003,Nadácia ZSE,Nadácia ZSE,509,8
110129608726975,Zdravotnícky denník,"Media Network, s.r.o.",479,5
1555021474808039,Richard Takáč - minister pôdohospodárstva a rozvoja vidieka,SMER - SD,438,15
100996313315404,Greenpeace Slovensko,Greenpeace Slovensko,426,9
102200698451761,Gyimesi György,Gyimesi György,426,10
2631817786833672,Michal Wiezik • Za zelenú Európu,Michal Wiezik,416,3
2322076957827734,Ladislav Kamenický - minister financií SR,SMER - SD,365,12
110389031408012,Magyar Szövetség,Magyar Szövetség - Maďarská aliancia,360,1
255901927851293,Slovenská sporiteľňa,Slovenská sporiteľňa,311,5
594790970995799,Miriam Lexmann,KDH,278,4
186953775142661,ESET,"ESET, spol. s r.o.",257,4
117702164538164,Záhradkársky Veľtrh Trenčín,Záhradkársky Veľtrh Trenčín,240,18
1461718484118285,Niké je tipovanie,Niké je tipovanie,238,3
618167765286261,EDYN,EDYN n.o.,218,3
1501859650125625,Vladimír Bilčík,Vladimír Bilčík,200,4
178362315106,European Parliament,European Parliament,192,12
"1,47284E+15",Nadácia Zastavme korupciu,Nadácia Zastavme korupciu,185,5
829246250528166,Republiková únia zamestnávateľov,Republiková únia zamestnávateľov,149,4
169115336461939,Novinárska cena,Nadácia otvorenej spoločnosti – Open Society Foundation,147,4
634042709987309,Post Bellum SK / Príbehy 20. storočia,Post Bellum SK,140,1
100686359349358,Martina Holečková,KDH,138,6
676942185691820,Slovak Parcel Service,Slovak Parcel Service,133,2
243127488883846,Marcel Rebro,Marcel Rebro,132,8
116795486378224,Marián Kéry- poslanec NR SR,SMER - SD,128,4
309315359104222,Milan Majerský,KDH,127,6
110198307912855,Marián Ďuriš • Republika,REPUBLIKA,124,1
163449818290,KDH,KDH,119,6
185784721289451,Braňo Ondruš,Braňo Ondruš,117,6
113662155425564,Teraz.sk,Teraz.sk,116,2
1643155275828458,Ján Mažgút,SMER - SD,109,2
527351247377965,European Committee of the Regions,European Committee of the Regions,108,2
