Page ID,Page name,Disclaimer,Amount spent (EUR),Number of ads in Library
1185998661417403,Ivan Korčok,Ivan Korčok,3386,32
403027089864701,Peter Pellegrini,Peter Pellegrini,3140,48
147166706140048,Martin Hojsík,Martin Hojsík,2591,25
193258414360612,Milan Uhrík • Republika,REPUBLIKA,2449,7
732167026967322,Robert Fico,SMER - SD,1379,9
2631817786833672,Michal Wiezik • Za zelenú Európu,Michal Wiezik,1323,5
102146246492040,SMER - SSD,SMER - SD,1106,15
106795542522284,Ján Kubiš,Ing. Ján Kubiš,1052,32
100612851457308,Matúš Šutaj Eštok,Matúš Šutaj Eštok,903,36
178362315106,European Parliament,European Parliament,798,27
188067335135140,Strabag Slovensko,Strabag Slovensko,788,38
1555021474808039,Richard Takáč - minister pôdohospodárstva a rozvoja vidieka,SMER - SD,729,21
2322076957827734,Ladislav Kamenický - minister financií SR,SMER - SD,673,19
207289726707929,Milan Mazurek • Republika,REPUBLIKA,672,3
802573516467334,Juraj Blanár,SMER - SD,611,13
339528979423925,Aktuality.sk,Ringier Slovakia Media s.r.o.,571,8
1009998019021765,Forró Krisztián,Forró Krisztián,503,17
100996313315404,Greenpeace Slovensko,Greenpeace Slovensko,474,11
100686359349358,Martina Holečková,Martina Holečková,383,8
829031324096235,Orosz Örs,Orosz Örs,350,2
100100868241799,Miroslav Suja • Republika,REPUBLIKA,331,2
1461718484118285,Niké je tipovanie,Niké je tipovanie,330,4
2085101965139559,Infosecurity.sk,Infosecurity.sk,320,4
1578280295823003,Nadácia ZSE,Nadácia ZSE,298,4
288447254691571,Veronika Remišová,ZA ĽUĎÍ,278,4
49067816623,Pravda,Pravda,269,10
135805949177,FORTUNA stavte sa,FORTUNA stavte sa,256,4
"1,47284E+15",Nadácia Zastavme korupciu,Nadácia Zastavme korupciu,255,8
186953775142661,ESET,"ESET, spol. s r.o.",253,4
110129608726975,Zdravotnícky denník,"Media Network, s.r.o.",242,6
102200698451761,Gyimesi György,Gyimesi György,224,9
132166557016,Liga za duševné zdravie SR,Liga za duševné zdravie SR,214,5
117702164538164,Záhradkársky Veľtrh Trenčín,Záhradkársky Veľtrh Trenčín,211,11
185784721289451,Braňo Ondruš,Braňo Ondruš,210,7
237493046280813,Katarina Roth Nevedalova,Katarina Roth Nevedalova,189,32
111165370750,Amnesty International Slovakia,Amnesty International Slovakia,166,6
101038892907757,Mikuláš Dzurinda,"Modrí, Most - Híd",163,2
557862947737785,Progresívne Slovensko,Progresívne Slovensko,153,7
103570085607177,Juraj Gedra,SMER - SD,150,3
212517858839474,ZSE,"Západoslovenská energetika, a.s.",150,1
1501859650125625,Vladimír Bilčík,Vladimír Bilčík,146,2
2687957954762822,Igor Melicher - Štátny tajomník Ministerstva obrany SR,SMER - SD,140,3
136836609695627,PLUS 7 DNÍ,News and Media Holding a.s.,136,8
2114747078615092,Tibor Gašpar,SMER - SD,128,2
162176693837904,Orange,Orange,127,7
106092371358835,Za právny štát,Občianske združenie ZA DEMOKRACIU A PRÁVNY ŠTÁT,126,7
105696625616469,Richard Glück,SMER - SD,125,2
139025019440898,Inštitút ľudských práv - Human Rights Institute,Inštitút ľudských práv - Human Rights Institute,123,8
2001358070115171,Jaro Polaček,Jaroslav Polaček,120,6
116795486378224,Marián Kéry- poslanec NR SR,SMER - SD,113,4
618167765286261,EDYN,EDYN n.o.,105,4
443163935751338,Košice - Mesto Košice,Mesto Košice,103,2
