Page ID,Page name,Disclaimer,Amount spent (EUR),Number of ads in Library
1185998661417403,Ivan Korčok,Ivan Korčok,8143,31
104956759364215,Voľte s rozumom o.z.,Voľte s rozumom o.z.,6000,4
110389031408012,Magyar Szövetség,Magyar Szövetség - Maďarská aliancia,5583,2
254427098315,Tipsport SK,Tipsport SK,4655,4
403027089864701,Peter Pellegrini,Peter Pellegrini,4521,86
1009998019021765,Forró Krisztián,Forró Krisztián,1941,19
70746153342,VÚB banka,VÚB banka,1411,2
100612851457308,Matúš Šutaj Eštok,Matúš Šutaj Eštok,1168,51
188067335135140,STRABAG Slovensko,Strabag Slovensko,1022,35
172396033788,MEMO 98,MEMO 98,994,9
186953775142661,ESET,"ESET, spol. s r.o.",780,13
193258414360612,Milan Uhrík • Republika,REPUBLIKA,774,3
163449818290,KDH,KDH,703,32
102146246492040,SMER - SSD,SMER - SD,660,9
1578280295823003,Nadácia ZSE,Nadácia ZSE,598,11
100996313315404,Greenpeace Slovensko,Greenpeace Slovensko,586,16
802573516467334,Juraj Blanár,SMER - SD,563,9
170612431409,Televízne noviny TV Markíza,Televízne noviny TV Markíza,556,24
1552624815015371,SPP - distribúcia,SPP - distribúcia,527,4
178362315106,European Parliament,European Parliament,512,16
111165370750,Amnesty International Slovakia,Amnesty International Slovakia,439,5
117702164538164,Záhradkársky Veľtrh Trenčín,Záhradkársky Veľtrh Trenčín,415,23
1555021474808039,Richard Takáč - minister pôdohospodárstva a rozvoja vidieka,SMER - SD,412,12
135805949177,FORTUNA stavte sa,FORTUNA stavte sa,372,4
194278021265803,Michal Šimečka • Progresívne Slovensko,Progresívne Slovensko,369,1
110129608726975,Zdravotnícky denník,"Media Network, s.r.o.",348,4
339528979423925,Aktuality.sk,Ringier Slovakia Media s.r.o.,328,2
100686359349358,Martina Holečková,Martina Holečková,328,7
106795542522284,Ján Kubiš,Ing. Ján Kubiš,312,49
100892239952298,Televízia Markíza,TV Markíza,280,8
"1,47284E+15",Nadácia Zastavme korupciu,Nadácia Zastavme korupciu,246,13
185784721289451,Braňo Ondruš,Braňo Ondruš,243,2
2322076957827734,Ladislav Kamenický - minister financií SR,SMER - SD,241,7
1461718484118285,Niké je tipovanie,Niké je tipovanie,233,6
105696625616469,Richard Glück,SMER - SD,200,2
207289726707929,Milan Mazurek • Republika,REPUBLIKA,200,1
151962591495628,Richard Raši,HLAS - sociálna demokracia,189,8
594790970995799,Miriam Lexmann,KDH,186,4
324560137683033,Ivan ŠTEFANEC,KDH,174,5
116795486378224,Marián Kéry- poslanec NR SR,SMER - SD,153,4
136261775977,SITA Webnoviny,SITA Slovenská tlačová agentúra a.s.,149,103
171511222871512,Televízia JOJ,Televízia JOJ,138,3
53247283454,Hospodárske noviny,Mafra Slovakia a.s.,137,2
49067816623,Pravda,Pravda,135,2
102200698451761,Gyimesi György,Gyimesi György,134,4
103393225948046,Digitálne inovácie,Slovenské centrum digitálnych inovácii,125,2
101038892907757,Mikuláš Dzurinda,"Modrí, Most - Híd",124,2
608493236475568,Pavol Slota • DOMOV - Národná strana,DOMOV národná strana,121,6
110198307912855,Marián Ďuriš • Republika,REPUBLIKA,116,2
109628675248068,JOJ 24,JOJ 24,111,3
100100868241799,Miroslav Suja • Republika,REPUBLIKA,111,1
101211179319052,Pandy Péter,Magyar Szövetség - Maďarská aliancia,109,1
277077069455,Transparency International Slovensko,Transparency International Slovensko,105,7
288447254691571,Veronika Remišová,ZA ĽUĎÍ,104,3
136836609695627,PLUS 7 DNÍ,News and Media Holding a.s.,103,9
