ID,Inzerent,Výdavky na reklamu,Počet reklám,Video,Obrázková,Textová,Aktualizácia
AR05393289149115531265,Peter Pellegrini,46250,52,23400,5100,17700,3.4.2024
AR06015691895273947137,Ivan Korčok,11550,5,10200,0,1330,3.4.2024
AR18066176814136426497,Štefan Harabin,32400,22,32400,0,0,3.4.2024
